author,published_at,like_count,text,public,video_id
@PadisPadis-l7l,2026-04-19T04:51:07Z,0,BOHONG PAK PRABOWO KARENA SETIAP KECAMATAN HAMPIR ADA 25 TITIK DAPUR YANG ACC OLEH KEPALMPG PUSAT KARENA DI KASIH UANG SEDANGKAN SASARAN SISWA SANGAT TERBATAS AHIRNYA DALING JARAH MENJARAH UANG LEMAH GAK MAU RIBUT MENYERAH APA ADANYA AHIRNYA KWALITASNYA RENDAH KARENA SEMUA DI ACC YANG PENTING ADA SETORAN KE PUSAT,True,lmcwEO9Lqe8
@suharlisawir2848,2026-04-19T03:25:22Z,0,"Program bagi2 jatah korupsi.....lihat aj pengadaan motor listrik yg 1,2t, bhkan mntri keuangan aj gk tau ujug2 barangnya nongol dg anggaran 1,2t, trus pengdaan kaos kaki dll, hnya bagi2 duit",True,lmcwEO9Lqe8
@prayogi5396,2026-04-18T23:25:49Z,0,SeBERGIZI apa MBG?,True,lmcwEO9Lqe8
@Vazo808x,2026-04-18T05:38:19Z,0,beban negara,True,lmcwEO9Lqe8
@CahyaSaputra-c7t,2026-04-18T03:20:27Z,0,Percuma mengkritik menghujat orang tak bermoral,True,lmcwEO9Lqe8
@CahyaSaputra-c7t,2026-04-18T03:12:11Z,0,7 presiden  rakyat tidak hidup sengsara setelah Prabowo jadi presiden rakyat hidupnya makin sengsara,True,lmcwEO9Lqe8
@Arif.Prasetyo-it8qv,2026-04-17T07:19:05Z,0,"MBG proyek tahan malu,  terlanjur janji omon2 sambil ngibulin 58% yg malas berpikir cerdas.",True,lmcwEO9Lqe8
@Arif.Prasetyo-it8qv,2026-04-17T07:18:54Z,0,"MBG proyek tahan malu,  terlanjur janji omon2 sambil ngibulin 58% yg malas berpikir cerdas.",True,lmcwEO9Lqe8
@Majups,2026-04-17T03:26:23Z,0,Bukan MBG tapi MUPR (makanan uang pajak rakyat),True,lmcwEO9Lqe8
@BapakKrawan,2026-04-17T02:12:53Z,0,"Kalau maha siswa anaknya orang mudah cari makan, jadi. Nggak bingung",True,lmcwEO9Lqe8
@BapakKrawan,2026-04-17T02:09:45Z,0,Saya pernah tidak makan. Mulai pagi sampai sore ikut gerak jalan tumpang Malang sampai pagi baru diberi makan badan sampai dredek ya karena saya anaknya orang nggak punya,True,lmcwEO9Lqe8
@BapakKrawan,2026-04-17T02:08:03Z,0,Makan Dibarak TNI itu lo banyak yang iri hati pemasak apalagi MBG,True,lmcwEO9Lqe8
@BapakKrawan,2026-04-17T02:07:01Z,0,Tidak semua anak pagi bisa makan ada anak Mts negri rejoso Pasuruan ibunya  tidak punya pekerjaan nenek jual kue ditaruh di warung itu lo bisa sekolah,True,lmcwEO9Lqe8
@RanggaNaufalino,2026-04-16T17:59:55Z,0,Sebagai petani saya setuju dgn program mbg karena bisa menyerap hasil dari pertanian terutama sayur dan buah. Intinya yang penting Brantas tuntas para koruptor. Jika pemerintah berhasil memberantas korupsi jangankan mbg untuk para siswa seluruh WNI dikasih mbg pun ada kok uang. Indonesia banyak hutang bukan karna indonesia miskin tp krna pejabatnya banyak yang korup.,True,lmcwEO9Lqe8
@Athaya931,2026-04-16T13:11:13Z,1,"program MBG ini program yg sangat TDK berguna bagi rakyat banyak...
sebetulnya ini program gagal...tapi kok masih di pertahankan...
presidennya sampai GK memperdulikan, bahwa MBG itu sangat membahayakan nyawa anak didik di Indonesia...
Bubarkan MBG...",True,lmcwEO9Lqe8
@virdiawanip2278,2026-04-16T09:13:05Z,0,"fun fact: dasar hukum pelaksanaan MBG yaitu Perpres Nomor 83 Tahun 2024 tentang Badan Gizi Nasional (BGN), yang mana yang menetapkan peraturan tersebut adalah Pria Solo (bisa dicek sendiri di JDIH)",True,lmcwEO9Lqe8
@AzamAzamsyahputra,2026-04-16T05:53:05Z,0,Program TAINISASI,True,lmcwEO9Lqe8
@immanuelpurba7271,2026-04-16T03:20:07Z,1,"Waktu dia masih jadi aktif tentara ajah banyak yg ngk mau kalau dia menjabat pangkat tinggi karena ngk mau mendengarkan nasihat orang lain , nah skrg udah pada kerasa kan gimana keras kepala nya nih orang setelah menjadi orang no 1 di indonesia
Gusdur ajah bilang kalau dia itu ngk boleh di kasih kekuasaan",True,lmcwEO9Lqe8
@igirpuntuk8038,2026-04-15T22:24:29Z,0,"Atasi stunting koh MBG anak sekolah,  kuliah di mana ya...",True,lmcwEO9Lqe8
@ismadi471,2026-04-15T22:10:48Z,0,PROGRAM MENGGARONG UANG RAKYAT,True,lmcwEO9Lqe8
@ash8149-d9s,2026-04-15T11:08:38Z,0,Selanjutnya tolong bahas dan teliti tentang koperasi merah putih buk,True,lmcwEO9Lqe8
@MSNOODLE-m4n,2026-04-15T10:01:31Z,0,"Kalau saya mbg merusak UKM
Dan melambung nya sayuran",True,lmcwEO9Lqe8
@HardiyantoWsb,2026-04-15T02:53:54Z,0,Tutup neres,True,lmcwEO9Lqe8
@elzafadli2764,2026-04-15T01:00:11Z,0,"2:07 miliar apa triluan nih gak masuk anggal anggaran 268 triluan bukan negara Amerika,",True,lmcwEO9Lqe8
@supenoeno8255,2026-04-15T00:42:13Z,0,Banyak orang gila.,True,lmcwEO9Lqe8
@khabibnurmagomedov3682,2026-04-14T21:13:48Z,0,"SEKOLAH BANGUNAN JELEK
DAPUR MBG BAGAI VILLA
JEPANG MAJU KARENA ILMU PENGETAHUAN, IRAN MENYUSUL DENGAN TEKNOLOGI
INDONESIA DENGAN MBG, ITU JUGA DIKORUPSI GAK SESUAI NOMINALNYA
IDE T0L0L SIAPA ITU?
🤣🤣🤣",True,lmcwEO9Lqe8
@budisukahar-q6k6j,2026-04-14T19:38:06Z,0,MBG ladang korupsi atas Nama Negara,True,lmcwEO9Lqe8
@chanelapaajaboleh9637,2026-04-14T17:44:15Z,0,Kangen rocky gerung 😅😅😅...,True,lmcwEO9Lqe8
@Dedi-h7o,2026-04-14T13:56:36Z,0,"MBG ladang kurupsi,pintar menciptakan ladang kurupsi.",True,lmcwEO9Lqe8
@muhammadiqbalkopong3448,2026-04-14T13:43:36Z,0,"Tidak ada maanfaat sama sekali.....

Mendingan dana mbg itu untuk guru guru yang mengajar gaji yg tidak sesuai.....

Guru itu napasnya indonesia...tanpa guru dunia tidak akan berkembang",True,lmcwEO9Lqe8
@harisfauzi8516,2026-04-14T10:20:51Z,0,"Semoga cma pas wowo menjabat aja, selesai jd persiden,bubarin,😢 semoga sblm selesai pemilu bubarin aj, kebanyakan mendarat nya",True,lmcwEO9Lqe8
@Junaedi-u1x,2026-04-14T09:31:02Z,0,"MBG ini yha untuk kamu dan yang kamu percaya yaitu si kepala BOTAK untuk menjalankan korupsi secara terang terangan, kan masih ada lagi yang direkayasa yang ada kaitanya MBG untuk bisa dikorupsi, inilah pemimpin kita yang sangat rakus.",True,lmcwEO9Lqe8
@angeldewi85,2026-04-14T07:38:52Z,0,"Fakta korupsi, udah se gede megalodonpun tetap bakal dibela sama prabowo, ingat yg ga ngedukung MBG adalah antek"" asing😅😅😅",True,lmcwEO9Lqe8
